source,headline,pubdate,headline_length,Date,Open,High,Low,Close,Volume,is_trading_day,sentiment,sentiment_confidence,next_close,return_1d,target,sentiment_score
Yahoo Finance,Chip Stocks Are Rising. Nvidia's Huang Reignites the AI Trade - Yahoo Finance,2026-01-22,77,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.5356066823005676,184.83999633789065,0.0,0,0.5356066823005676
The Motley Fool,3 Artificial Intelligence Stocks You Can Buy and Hold for the Next Decade - The Motley Fool,2026-01-22,91,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9404385089874268,184.83999633789065,0.0,0,0.0
Nasdaq,Palantir Billionaire Peter Thiel Sells Nvidia Stock -- 100% of His Portfolio Is Now Invested in 3 AI Stocks - Nasdaq,2026-01-22,116,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,neutral,0.9334176778793336,184.83999633789065,0.0,0,0.0
TechStock²,Nvidia stock nudges higher after China trip plan puts AI-chip exports back in play - TechStock²,2026-01-22,95,2026-01-22,184.75,186.1699981689453,183.92999267578125,184.83999633789065,139636600.0,True,positive,0.582231342792511,187.6699981689453,0.015310549053903721,1,0.582231342792511
MSN,Nvidia stock rises with China set to allow H200 chip orders; is Nvidia a buy now? - MSN,2026-01-23,87,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.8874284029006958,187.6699981689453,0.0,0,0.8874284029006958
NAI500,"JPMorgan Overhauls AI Stock Picks, Backs Nvidia, Broadcom, and Micron as Top Plays - NAI500",2026-01-23,91,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.6124228835105896,187.6699981689453,0.0,0,0.0
Yahoo Finance Singapore,NVIDIA Corporation (NVDA) is Attracting Investor Attention: Here is What You Should Know - Yahoo Finance Singapore,2026-01-23,114,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9110277891159058,187.6699981689453,0.0,0,0.0
Mint,"Intel’s 15% slump drags Wall Street lower, geopolitical tensions weigh, Nvidia surges 1.4% - Mint",2026-01-23,97,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.8942856788635254,187.6699981689453,0.0,0,-0.8942856788635254
Investor's Business Daily,"Dow Jones Stocks: Nvidia, Amgen Are Near Buy Points But This Longtime Loser Is Winning The Week - Investor's Business Daily",2026-01-23,123,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.5582956075668335,187.6699981689453,0.0,0,0.0
Investing.com South Africa,Nvidia stock rises after China reportedly clears tech giants to order H200 chips By Investing.com - Investing.com South Africa,2026-01-23,126,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.4986545443534851,187.6699981689453,0.0,0,0.4986545443534851
Mint,"Intel drags Wall street lower, geopolitical tensions weigh, Nvidia surges 1.4% - Mint",2026-01-23,85,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.8075748682022095,187.6699981689453,0.0,0,-0.8075748682022095
Seeking Alpha,"Intel: Government And Nvidia Backings Not Enough, Shares Materially Overpriced (INTC) - Seeking Alpha",2026-01-23,101,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.9240803122520448,187.6699981689453,0.0,0,-0.9240803122520448
Investing.com,Micron and Nvidia: The Kings of AI Stocks - Investing.com,2026-01-23,57,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9393806457519532,187.6699981689453,0.0,0,0.0
CNBC,"S&P 500 ends Friday little changed, but posts second straight losing week amid wild trading - CNBC",2026-01-23,98,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.847517192363739,187.6699981689453,0.0,0,-0.847517192363739
Value Research,"‘Some Indian IT stocks trade richer than Nvidia, Microsoft’ - Value Research",2026-01-23,76,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.8468329906463623,187.6699981689453,0.0,0,0.8468329906463623
Investor's Business Daily,Nvidia Stock Rises With China Set To Allow H200 Chip Orders; Is Nvidia A Buy Now? - Investor's Business Daily,2026-01-23,109,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.7609710097312927,187.6699981689453,0.0,0,0.7609710097312927
Analytics Insight,NVIDIA Stock Rises After China Signals Progress on H200 AI Chip Imports - Analytics Insight,2026-01-23,91,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.7489966154098511,187.6699981689453,0.0,0,0.7489966154098511
Yahoo Finance,3 catalysts that could drive Nvidia stock higher in 2026 - Yahoo Finance,2026-01-23,72,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.6379181146621704,187.6699981689453,0.0,0,0.6379181146621704
Nasdaq,Should Investors Buy Nvidia Stock Before Feb. 25? - Nasdaq,2026-01-23,58,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9270321130752563,187.6699981689453,0.0,0,0.0
Investing.com,Nvidia stock rises after China reportedly clears tech giants to order H200 chips - Investing.com,2026-01-23,96,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.5270572304725647,187.6699981689453,0.0,0,0.5270572304725647
The Motley Fool,Should Investors Buy Nvidia Stock Before Feb. 25? - The Motley Fool,2026-01-23,67,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9309133291244508,187.6699981689453,0.0,0,0.0
Trefis,Why NVIDIA Stock Jumped 70%? - Trefis,2026-01-23,37,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.5558153986930847,187.6699981689453,0.0,0,0.0
Barron's,Nvidia Stock Gains. Why It Just Got a China Chips Boost. - Barron's,2026-01-23,67,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.5056650638580322,187.6699981689453,0.0,0,0.0
Yahoo Finance,"Nvidia (NASDAQ: NVDA) Bull, Base, & Bear Stock Price Prediction and Forecast (Jan 23) - Yahoo Finance",2026-01-23,101,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.931416392326355,187.6699981689453,0.0,0,0.0
The Motley Fool,2 Monster Stocks to Hold for the Next 5 Years - The Motley Fool,2026-01-23,63,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.8318641781806946,187.6699981689453,0.0,0,0.0
CNBC,Nvidia’s Huang to visit China as AI chip sales stall - CNBC,2026-01-23,59,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.8887287974357605,187.6699981689453,0.0,0,0.0
Investor's Business Daily,"Dow Jones Futures Fall As Intel Dives, Nvidia Gets H200 China Boost; Tesla Ends Autopilot - Investor's Business Daily",2026-01-23,117,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.8981882929801941,187.6699981689453,0.0,0,-0.8981882929801941
Yahoo Finance,Why Nvidia (NVDA) Stock Is Rising Today - Yahoo Finance,2026-01-23,55,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.6630792021751404,187.6699981689453,0.0,0,0.6630792021751404
MarketWatch,Nvidia may have picked up a win in China. So why isn’t the stock surging? - MarketWatch,2026-01-23,87,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.8004949688911438,187.6699981689453,0.0,0,0.0
Forbes,"Micron, Nvidia Or Intel Stock: Which Is The Best Bet? - Forbes",2026-01-23,62,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9424667358398438,187.6699981689453,0.0,0,0.0
Investor's Business Daily,"Nvidia, IBD Stock Of The Day, Looks To Finally Score China Sales - Investor's Business Daily",2026-01-23,92,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,positive,0.8710047006607056,187.6699981689453,0.0,0,0.8710047006607056
TechStock²,Nvidia stock rises on China H200 order report before the open — what to watch for NVDA next - TechStock²,2026-01-23,104,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.8784592151641846,187.6699981689453,0.0,0,0.0
The Motley Fool,Better Artificial Intelligence Stock: Nvidia vs. Meta Platforms - The Motley Fool,2026-01-23,81,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.7043173313140869,187.6699981689453,0.0,0,0.0
Bloomberg,"Stock Movers: Nvidia, Intel, Tesla - Bloomberg",2026-01-23,46,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.9445812702178956,187.6699981689453,0.0,0,0.0
Investing.com India,"Intel, FedEx and JetBlue fall premarket; Nvidia and Booz Allen rise By Investing.com - Investing.com India",2026-01-23,106,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,neutral,0.8832449316978455,187.6699981689453,0.0,0,0.0
CNBC,Nvidia director Persis Drell resigns with $26 million worth of stock after decade on board - CNBC,2026-01-23,97,2026-01-23,187.5,189.6000061035156,186.82000732421875,187.6699981689453,142524700.0,True,negative,0.7408652305603027,,,0,-0.7408652305603027
simplywall.st,Is Fabrinet’s (FN) Nvidia Partnership Quietly Redefining Its Role in the Data Center Stack? - simplywall.st,2026-01-24,107,,,,,,,False,neutral,0.7835667133331299,,,0,0.0
India.Com,Nvidia board director Presis Drell to get USD 26 million worth of stocks after resignation; know complete det - India.Com,2026-01-24,121,,,,,,,False,neutral,0.9048846960067748,,,0,0.0
The Motley Fool,2 Quantum Computing Stocks to Buy in Early 2026 - The Motley Fool,2026-01-24,65,,,,,,,False,neutral,0.8988798260688782,,,0,0.0
Yahoo Finance,Morning Movers: Nvidia up after report of potential China move on H200 chips - Yahoo Finance,2026-01-24,92,,,,,,,False,positive,0.8815521597862244,,,0,0.8815521597862244
The Motley Fool,My Top 3 Chip Stocks for 2025 Crushed the Market. Here's Why They Can Repeat Again in 2026. - The Motley Fool,2026-01-24,109,,,,,,,False,neutral,0.6330599188804626,,,0,0.0
TechStock²,Nvidia stock price: CEO Huang in Shanghai as China H200 decision and Fed week loom - TechStock²,2026-01-24,95,,,,,,,False,neutral,0.7427330017089844,,,0,0.0
The Motley Fool,What Are the 3 Top Artificial Intelligence (AI) Stocks to Buy Right Now? - The Motley Fool,2026-01-24,90,,,,,,,False,neutral,0.936137855052948,,,0,0.0
Investor's Business Daily,"Google, Nvidia, Lilly Lead 5 Stocks Near Buy Points - Investor's Business Daily",2026-01-24,79,,,,,,,False,neutral,0.922826886177063,,,0,0.0
The Motley Fool,3 No-Brainer AI Stocks to Buy Right Now - The Motley Fool,2026-01-24,57,,,,,,,False,neutral,0.8868165612220764,,,0,0.0
Nasdaq,"If You'd Invested $1,000 in Nvidia 5 Years Ago, Here's How Much You'd Have Today - Nasdaq",2026-01-24,89,,,,,,,False,neutral,0.9309138655662536,,,0,0.0
simplywall.st,China Reopening Tests Nvidia AI Growth Story And Supply Demand Balance - simplywall.st,2026-01-24,86,,,,,,,False,neutral,0.8817598223686218,,,0,0.0
TechStock²,NVIDIA stock price rises on China H200 order signal as NVDA heads into a busy week - TechStock²,2026-01-24,95,,,,,,,False,negative,0.4970819652080536,,,0,-0.4970819652080536
scanx.trade,"Nvidia Director Persis Drell Resigns from Board with 1,43,000 Shares Worth $26 Million - scanx.trade",2026-01-24,100,,,,,,,False,negative,0.8197536468505859,,,0,-0.8197536468505859
Yahoo Finance,China Poised to Approve Nvidia's H200 Chips for Import. Here's What It Means for Investors - Yahoo Finance,2026-01-24,106,,,,,,,False,neutral,0.9120975136756896,,,0,0.0
Nasdaq,OpenAI Stock vs. Anthropic Stock: Which Nvidia-Backed AI Start-up Would Be the Best IPO Stock to Buy in 2026? - Nasdaq,2026-01-25,118,,,,,,,False,neutral,0.8012651205062866,,,0,0.0
MarketBeat,NVIDIA Corporation $NVDA Stock Holdings Lessened by Essex LLC - MarketBeat,2026-01-25,74,,,,,,,False,positive,0.5871925950050354,,,0,0.5871925950050354
Intellectia AI,"Retail Investors Divest Apple, Shift to Nvidia and Tesla Stocks - Intellectia AI",2026-01-25,80,,,,,,,False,neutral,0.902244746685028,,,0,0.0
MarketBeat,Dock Street Asset Management Inc. Has $215.55 Million Stock Position in NVIDIA Corporation $NVDA - MarketBeat,2026-01-25,109,,,,,,,False,neutral,0.945587158203125,,,0,0.0
Benzinga,"Retail Investors Dump Apple Stock While Nvidia, Tesla See Massive Inflows - NVIDIA (NASDAQ:NVDA) - Benzinga",2026-01-25,107,,,,,,,False,negative,0.9437561631202698,,,0,-0.9437561631202698
Yahoo Finance,Goldman Reaffirms Preference for Nvidia (NVDA) in AI Compute Ecosystem - Yahoo Finance,2026-01-25,86,,,,,,,False,neutral,0.8466582894325256,,,0,0.0
Mint,"Nvidia director Persis Drell resigns from board, leaves with 1,43,000 shares and stock price gain of 22,000% - Mint",2026-01-25,115,,,,,,,False,negative,0.7570756077766418,,,0,-0.7570756077766418
Yahoo Finance,Prediction: This AI Chip Stock Will Outperform Nvidia Again in 2026 - Yahoo Finance,2026-01-25,83,,,,,,,False,positive,0.8580684661865234,,,0,0.8580684661865234
